State,Code,Population,PovertyRate,Cases,CW,CAA,TD,DW,DAA,AA%,Aadr,W %,Wdr,Wdiff,Bdiff
Alabama,AL,4864680,0.17,38962.00,13489.00,14308.00,972.00,469.00,431.00,0.26,0.44,0.69,0.48,-0.21,0.18
Arkansas,AR,2990671,0.17,21197.00,9874.00,4778.00,277.00,150.00,69.00,0.16,0.25,0.79,0.54,-0.25,0.09
Arizona,AZ,6946685,0.16,84092.00,13169.00,1851.00,1720.00,735.00,49.00,0.03,0.03,0.83,0.43,-0.40,0.00
California,CA,39148760,0.14,232657.00,26127.00,6774.00,6090.00,1902.00,556.00,0.07,0.09,0.72,0.31,-0.41,0.02
Colorado,CO,5531141,0.11,33029.00,11355.00,1776.00,1697.00,1064.00,109.00,0.04,0.06,0.87,0.63,-0.24,0.02
Connecticut,CT,3581504,0.10,46572.00,16317.00,6108.00,4324.00,3168.00,641.00,0.09,0.15,0.80,0.73,-0.07,0.06
District of Columbia,DC,684498,0.16,10365.00,2119.00,5164.00,553.00,60.00,407.00,0.60,0.74,0.46,0.11,-0.35,0.14
Delaware,DE,949495,0.12,11510.00,3460.00,3033.00,509.00,320.00,130.00,0.19,0.26,0.70,0.63,-0.07,0.07
Florida,FL,20598139,0.14,158997.00,35342.00,24009.00,3550.00,1703.00,727.00,0.14,0.21,0.77,0.48,-0.29,0.07
Georgia,GA,10297484,0.16,84237.00,21260.00,23675.00,2827.00,1271.00,1331.00,0.29,0.47,0.61,0.45,-0.16,0.18
Iowa,IA,3132499,0.11,29503.00,18883.00,2655.00,717.00,573.00,34.00,0.02,0.05,0.91,0.80,-0.11,0.03
Idaho,ID,1687809,0.14,6370.00,3182.00,100.00,92.00,87.00,1.00,0.01,0.01,0.93,0.95,0.02,0.01
Illinois,IL,12821497,0.13,144013.00,30175.00,24191.00,6951.00,3090.00,1934.00,0.15,0.28,0.77,0.44,-0.33,0.13
Indiana,IN,6637426,0.14,45952.00,20773.00,5637.00,2456.00,1593.00,355.00,0.08,0.15,0.85,0.65,-0.20,0.07
Kansas,KS,2908776,0.12,14990.00,9596.00,1283.00,272.00,191.00,61.00,0.06,0.22,0.86,0.70,-0.16,0.16
Kentucky,KY,4440204,0.17,15842.00,8100.00,1566.00,572.00,432.00,85.00,0.07,0.15,0.88,0.76,-0.12,0.08
Louisiana,LA,4663616,0.19,60178.00,25876.54,30089.00,3238.00,1414.00,1630.00,0.32,0.50,0.63,0.44,-0.19,0.18
Massachusetts,MA,6830193,0.10,109143.00,32961.00,10259.00,8081.00,6020.00,662.00,0.05,0.08,0.81,0.74,-0.07,0.03
Maryland,MD,6003435,0.09,67918.00,13377.00,19463.00,3205.00,1375.00,1294.00,0.28,0.40,0.59,0.43,-0.16,0.12
Maine,ME,1332813,0.12,3294.00,1947.00,779.00,105.00,94.00,2.00,0.01,0.02,0.95,0.90,-0.05,0.01
Michigan,MI,9957488,0.15,71089.00,27891.00,20555.00,6198.00,3204.00,2458.00,0.14,0.40,0.79,0.52,-0.27,0.26
Minnesota,MN,5527358,0.10,39716.00,14559.00,7629.00,1445.00,1064.00,123.00,0.03,0.09,0.84,0.74,-0.10,0.06
Missouri,MO,6090062,0.14,21927.00,9604.00,6043.00,1017.00,587.00,360.00,0.11,0.35,0.83,0.58,-0.25,0.24
Mississippi,MS,2988762,0.20,27900.00,7363.00,13780.00,1082.00,442.00,544.00,0.36,0.50,0.59,0.41,-0.18,0.14
Montana,MT,1041732,0.13,1016.00,740.00,5.00,22.00,14.00,0.00,0.00,0.00,0.89,0.64,-0.25,0.00
North Carolina,NC,10155624,0.15,66513.00,25212.00,10818.00,1373.00,775.00,436.00,0.22,0.32,0.71,0.56,-0.15,0.10
Nebraska,NE,1904760,0.11,19310.00,10700.00,1100.00,276.00,212.00,21.00,0.04,0.08,0.88,0.77,-0.11,0.04
New Hampshire,NH,1343622,0.08,5802.00,3554.00,297.00,373.00,280.00,7.00,0.01,0.02,0.93,0.75,-0.18,0.01
New Jersey,NJ,8881845,0.10,171928.00,36216.00,17351.00,15078.00,7011.00,2363.00,0.13,0.16,0.72,0.46,-0.26,0.03
New Mexico,NM,2092434,0.20,12276.00,1416.00,235.00,500.00,98.00,4.00,0.02,0.01,0.82,0.20,-0.62,-0.01
Nevada,NV,2922849,0.13,19101.00,3647.00,1104.00,511.00,233.00,59.00,0.07,0.12,0.74,0.46,-0.28,0.05
New York,NY,19618453,0.14,394079.00,122164.49,90638.17,27714.00,8455.00,6246.00,0.16,0.23,0.70,0.31,-0.39,0.07
Ohio,OH,11641879,0.14,52865.00,25602.00,14073.00,2876.00,2228.00,542.00,0.11,0.19,0.82,0.77,-0.05,0.08
Oklahoma,OK,3918137,0.16,14112.00,8108.00,1046.00,389.00,295.00,28.00,0.07,0.07,0.74,0.76,0.02,0.00
Oregon,OR,4081943,0.14,8931.00,3704.00,393.00,208.00,154.00,6.00,0.02,0.03,0.87,0.74,-0.13,0.01
Pennsylvania,PA,12791181,0.12,87242.00,26300.00,11200.00,6649.00,4693.00,1426.00,0.10,0.21,0.82,0.71,-0.11,0.11
Rhode Island,RI,1056611,0.13,16853.00,4534.00,1573.00,956.00,629.00,47.00,0.04,0.05,0.84,0.66,-0.18,0.01
South Carolina,SC,4955925,0.16,37919.00,13160.00,9651.00,766.00,331.00,324.00,0.29,0.42,0.69,0.43,-0.26,0.13
Tennessee,TN,6651089,0.16,45315.00,19194.00,9676.00,609.00,344.00,215.00,0.16,0.35,0.79,0.56,-0.23,0.19
Texas,TX,27885195,0.15,168062.00,5720.00,2592.00,2481.00,269.00,85.00,0.11,0.03,0.79,0.11,-0.68,-0.08
Utah,UT,3045350,0.10,22716.00,7904.00,613.00,173.00,93.00,5.00,0.01,0.03,0.91,0.54,-0.37,0.02
Virginia,VA,8413774,0.11,63203.00,13415.00,9037.00,1786.00,971.00,387.00,0.20,0.22,0.70,0.54,-0.16,0.02
Vermont,VT,624977,0.11,1210.00,987.00,113.00,56.00,53.00,25.00,0.01,0.45,0.94,0.95,0.01,0.43
Washington,WA,7294336,0.11,33435.00,8493.00,1366.00,1339.00,896.00,43.00,0.03,0.03,0.79,0.67,-0.12,0.00
Wisconsin,WI,5778394,0.12,29199.00,16281.00,5085.00,786.00,545.00,185.00,0.06,0.24,0.87,0.69,-0.18,0.18
West Virginia,WV,1829054,0.17,2979.00,2402.00,215.00,93.00,58.00,3.00,0.03,0.03,0.94,0.62,-0.32,0.00
Wyoming,WY,581836,0.11,1203.00,660.00,14.00,20.00,8.00,0.00,0.01,0.00,0.93,0.40,-0.53,-0.01
